Size, Type, Time
250000, "Built-in", 0.051876
250000, "Sequential", 0.050976
250000, "Parallel", 0.080611
250000, "Built-in", 0.051850
250000, "Sequential", 0.051582
250000, "Parallel", 0.079371
250000, "Built-in", 0.053459
250000, "Sequential", 0.051285
250000, "Parallel", 0.076527
250000, "Built-in", 0.052974
250000, "Sequential", 0.051637
250000, "Parallel", 0.060561
250000, "Built-in", 0.051859
250000, "Sequential", 0.051387
250000, "Parallel", 0.062383
250000, "Built-in", 0.051862
500000, "Sequential", 0.110407
500000, "Parallel", 0.098960
500000, "Built-in", 0.109380
500000, "Sequential", 0.106107
500000, "Parallel", 0.094976
500000, "Built-in", 0.111504
500000, "Sequential", 0.105476
500000, "Parallel", 0.103812
500000, "Built-in", 0.108836
500000, "Sequential", 0.110187
500000, "Parallel", 0.099986
500000, "Built-in", 0.110683
500000, "Sequential", 0.105567
500000, "Parallel", 0.092181
500000, "Built-in", 0.227470
500000, "Sequential", 0.464459
500000, "Parallel", 0.360460
500000, "Built-in", 0.468580
500000, "Sequential", 0.467361
500000, "Parallel", 0.333865
500000, "Built-in", 0.468832
500000, "Sequential", 0.461266
500000, "Parallel", 0.374082
500000, "Built-in", 0.471084
500000, "Sequential", 0.469642
500000, "Parallel", 0.339690
500000, "Built-in", 0.477725
500000, "Sequential", 0.479803
500000, "Parallel", 0.331947
500000, "Built-in", 0.470195
500000, "Sequential", 0.461981
500000, "Parallel", 0.383479
500000, "Built-in", 0.468254
500000, "Sequential", 0.468950
500000, "Parallel", 0.352801
500000, "Built-in", 0.470966
500000, "Sequential", 0.458057
500000, "Parallel", 0.366547
500000, "Built-in", 0.466079
500000, "Sequential", 0.472448
500000, "Parallel", 0.291183
500000, "Built-in", 0.108646
500000, "Sequential", 0.105509
500000, "Parallel", 0.107685
500000, "Built-in", 0.110804
500000, "Sequential", 0.107557
500000, "Parallel", 0.100929
500000, "Built-in", 0.108207
500000, "Sequential", 0.107977
500000, "Parallel", 0.108326
500000, "Built-in", 0.108619
500000, "Sequential", 0.106792
500000, "Parallel", 0.119933
500000, "Built-in", 0.108795
500000, "Sequential", 0.105714
500000, "Parallel", 0.102949
500000, "Built-in", 0.112599
500000, "Sequential", 0.104420
500000, "Parallel", 0.091143
500000, "Built-in", 0.188353
500000, "Sequential", 0.469396
500000, "Parallel", 0.357346
500000, "Built-in", 0.465949
500000, "Sequential", 0.458742
500000, "Parallel", 0.355872
500000, "Built-in", 0.469481
500000, "Sequential", 0.464973
500000, "Parallel", 0.383038
500000, "Built-in", 0.466418
500000, "Sequential", 0.477945
500000, "Parallel", 0.362398
500000, "Built-in", 0.468486
500000, "Sequential", 0.461549
500000, "Parallel", 0.367491
500000, "Built-in", 0.474492
500000, "Sequential", 0.458966
500000, "Parallel", 0.156959
500000, "Built-in", 0.110434
500000, "Sequential", 0.105900
500000, "Parallel", 0.090952
500000, "Built-in", 0.108315
500000, "Sequential", 0.105955
500000, "Parallel", 0.100592
500000, "Built-in", 0.109909
500000, "Sequential", 0.110594
500000, "Parallel", 0.100177
500000, "Built-in", 0.111071
500000, "Sequential", 0.106212
500000, "Parallel", 0.097451
500000, "Built-in", 0.108612
750000, "Sequential", 0.165291
750000, "Parallel", 0.131547
750000, "Built-in", 0.167127
750000, "Sequential", 0.168382
750000, "Parallel", 0.130202
750000, "Built-in", 0.168070
750000, "Sequential", 0.171047
750000, "Parallel", 0.162508
750000, "Built-in", 0.170603
750000, "Sequential", 0.167746
750000, "Parallel", 0.123172
750000, "Built-in", 0.168490
750000, "Sequential", 0.167202
750000, "Parallel", 0.141709
750000, "Built-in", 0.186206
750000, "Sequential", 0.306549
750000, "Parallel", 0.526912
750000, "Built-in", 0.721001
750000, "Sequential", 0.724020
750000, "Parallel", 0.535014
750000, "Built-in", 0.481085
750000, "Sequential", 0.166835
750000, "Parallel", 0.143761
750000, "Built-in", 0.169137
750000, "Sequential", 0.165000
750000, "Parallel", 0.133613
750000, "Built-in", 0.167128
750000, "Sequential", 0.173580
750000, "Parallel", 0.141642
750000, "Built-in", 0.173805
750000, "Sequential", 0.168610
750000, "Parallel", 0.126157
750000, "Built-in", 0.168466
750000, "Sequential", 0.532697
750000, "Parallel", 0.523698
750000, "Built-in", 0.732436
750000, "Sequential", 0.728739
750000, "Parallel", 0.486055
750000, "Built-in", 0.729301
750000, "Sequential", 0.694562
750000, "Parallel", 0.504725
750000, "Built-in", 0.737442
750000, "Sequential", 0.708721
750000, "Parallel", 0.503845
750000, "Built-in", 0.456175
750000, "Sequential", 0.163615
750000, "Parallel", 0.148312
750000, "Built-in", 0.168823
750000, "Sequential", 0.168114
750000, "Parallel", 0.151044
750000, "Built-in", 0.167370
750000, "Sequential", 0.166002
750000, "Parallel", 0.148807
750000, "Built-in", 0.169035
750000, "Sequential", 0.168670
750000, "Parallel", 0.151685
750000, "Built-in", 0.167376
750000, "Sequential", 0.708900
750000, "Parallel", 0.503430
750000, "Built-in", 0.727700
750000, "Sequential", 0.712544
750000, "Parallel", 0.514736
750000, "Built-in", 0.739853
750000, "Sequential", 0.718423
750000, "Parallel", 0.474681
750000, "Built-in", 0.729656
750000, "Sequential", 0.731504
750000, "Parallel", 0.545183
750000, "Built-in", 0.722464
750000, "Sequential", 0.714914
750000, "Parallel", 0.473685
750000, "Built-in", 0.724758
750000, "Sequential", 0.706301
750000, "Parallel", 0.509862
750000, "Built-in", 0.727585
750000, "Sequential", 0.708568
750000, "Parallel", 0.524136
750000, "Built-in", 0.733964
750000, "Sequential", 0.707085
750000, "Parallel", 0.520058
750000, "Built-in", 0.737255
750000, "Sequential", 0.710070
750000, "Parallel", 0.489360
750000, "Built-in", 0.653024
750000, "Sequential", 0.165180
750000, "Parallel", 0.139111
750000, "Built-in", 0.169438
750000, "Sequential", 0.164999
750000, "Parallel", 0.148843
750000, "Built-in", 0.168206
100, "Sequential", 0.000011
100, "Parallel", 0.003860
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.002086
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.007382
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.010450
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.008019
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.007054
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.008148
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.002900
100, "Built-in", 0.000012
100, "Sequential", 0.000012
100, "Parallel", 0.002787
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.002486
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.003057
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.013238
100, "Built-in", 0.000012
100, "Sequential", 0.000011
100, "Parallel", 0.012754
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.002814
100, "Built-in", 0.000011
100, "Sequential", 0.000011
100, "Parallel", 0.003351
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.008421
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.006584
100, "Built-in", 0.000012
100, "Sequential", 0.000011
100, "Parallel", 0.015174
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.002570
100, "Built-in", 0.000011
100, "Sequential", 0.000011
100, "Parallel", 0.003084
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.013738
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.003287
100, "Built-in", 0.000012
100, "Sequential", 0.000013
100, "Parallel", 0.002777
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.006626
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.003705
100, "Built-in", 0.000011
100, "Sequential", 0.000011
100, "Parallel", 0.003937
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.002751
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.003689
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.003084
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.005495
100, "Built-in", 0.000011
1000, "Sequential", 0.000152
1000, "Parallel", 0.021397
1000, "Built-in", 0.000197
1000, "Sequential", 0.000127
1000, "Parallel", 0.028960
1000, "Built-in", 0.000200
1000, "Sequential", 0.000126
1000, "Parallel", 0.018592
1000, "Built-in", 0.000200
1000, "Sequential", 0.000175
1000, "Parallel", 0.009577
1000, "Built-in", 0.000198
1000, "Sequential", 0.000125
1000, "Parallel", 0.020552
1000, "Built-in", 0.000198
1000, "Sequential", 0.000127
1000, "Parallel", 0.025889
1000, "Built-in", 0.000197
1000, "Sequential", 0.000126
1000, "Parallel", 0.013196
1000, "Built-in", 0.000199
1000, "Sequential", 0.000126
1000, "Parallel", 0.022684
1000, "Built-in", 0.000196
1000, "Sequential", 0.000126
1000, "Parallel", 0.029490
1000, "Built-in", 0.000197
1000, "Sequential", 0.000127
1000, "Parallel", 0.021622
1000, "Built-in", 0.000198
1000, "Sequential", 0.000128
1000, "Parallel", 0.034564
1000, "Built-in", 0.000210
1000, "Sequential", 0.000171
1000, "Parallel", 0.030219
1000, "Built-in", 0.000207
1000, "Sequential", 0.000127
1000, "Parallel", 0.028961
1000, "Built-in", 0.000197
1000, "Sequential", 0.000126
1000, "Parallel", 0.040123
1000, "Built-in", 0.000196
1000, "Sequential", 0.000126
1000, "Parallel", 0.031199
1000, "Built-in", 0.000197
1000, "Sequential", 0.000138
1000, "Parallel", 0.032345
1000, "Built-in", 0.000199
1000, "Sequential", 0.000125
1000, "Parallel", 0.013485
1000, "Built-in", 0.000199
1000, "Sequential", 0.000126
1000, "Parallel", 0.016982
1000, "Built-in", 0.000199
1000, "Sequential", 0.000128
1000, "Parallel", 0.030397
1000, "Built-in", 0.000200
1000, "Sequential", 0.000127
1000, "Parallel", 0.021750
1000, "Built-in", 0.000200
1000, "Sequential", 0.000127
1000, "Parallel", 0.020370
1000, "Built-in", 0.000201
1000, "Sequential", 0.000127
1000, "Parallel", 0.039585
1000, "Built-in", 0.000197
1000, "Sequential", 0.000126
1000, "Parallel", 0.041063
1000, "Built-in", 0.000195
1000, "Sequential", 0.000127
1000, "Parallel", 0.039590
1000, "Built-in", 0.000202
1000, "Sequential", 0.000127
1000, "Parallel", 0.032289
1000, "Built-in", 0.000199
1000, "Sequential", 0.000128
1000, "Parallel", 0.033365
1000, "Built-in", 0.000199
1000, "Sequential", 0.000125
1000, "Parallel", 0.016363
1000, "Built-in", 0.000199
1000, "Sequential", 0.000127
1000, "Parallel", 0.024979
1000, "Built-in", 0.000201
1000, "Sequential", 0.000125
1000, "Parallel", 0.035962
1000, "Built-in", 0.000201
1000, "Sequential", 0.000136
1000, "Parallel", 0.021883
1000, "Built-in", 0.000201
10000, "Sequential", 0.001615
10000, "Parallel", 0.067422
10000, "Built-in", 0.001830
10000, "Sequential", 0.001712
10000, "Parallel", 0.051922
10000, "Built-in", 0.001842
10000, "Sequential", 0.001717
10000, "Parallel", 0.060812
10000, "Built-in", 0.001659
10000, "Sequential", 0.001648
10000, "Parallel", 0.066229
10000, "Built-in", 0.001650
10000, "Sequential", 0.001650
10000, "Parallel", 0.059021
10000, "Built-in", 0.001691
10000, "Sequential", 0.001616
10000, "Parallel", 0.067976
10000, "Built-in", 0.001655
10000, "Sequential", 0.001619
10000, "Parallel", 0.064134
10000, "Built-in", 0.001642
10000, "Sequential", 0.001617
10000, "Parallel", 0.083488
10000, "Built-in", 0.001848
10000, "Sequential", 0.001620
10000, "Parallel", 0.077155
10000, "Built-in", 0.001649
10000, "Sequential", 0.001761
10000, "Parallel", 0.062976
10000, "Built-in", 0.001648
10000, "Sequential", 0.001629
10000, "Parallel", 0.055797
10000, "Built-in", 0.001658
10000, "Sequential", 0.001635
10000, "Parallel", 0.067122
10000, "Built-in", 0.001659
10000, "Sequential", 0.001619
10000, "Parallel", 0.045796
10000, "Built-in", 0.001646
10000, "Sequential", 0.001638
10000, "Parallel", 0.063795
10000, "Built-in", 0.001657
10000, "Sequential", 0.001627
10000, "Parallel", 0.081271
10000, "Built-in", 0.001761
10000, "Sequential", 0.001584
10000, "Parallel", 0.053159
10000, "Built-in", 0.001649
10000, "Sequential", 0.001600
10000, "Parallel", 0.083615
10000, "Built-in", 0.001659
10000, "Sequential", 0.001585
10000, "Parallel", 0.072714
10000, "Built-in", 0.001654
10000, "Sequential", 0.001723
10000, "Parallel", 0.060008
10000, "Built-in", 0.001646
10000, "Sequential", 0.001627
10000, "Parallel", 0.059969
10000, "Built-in", 0.001644
10000, "Sequential", 0.001682
10000, "Parallel", 0.027866
10000, "Built-in", 0.001650
10000, "Sequential", 0.001685
10000, "Parallel", 0.062497
10000, "Built-in", 0.001664
10000, "Sequential", 0.001605
10000, "Parallel", 0.045350
10000, "Built-in", 0.001653
10000, "Sequential", 0.002629
10000, "Parallel", 0.075324
10000, "Built-in", 0.001647
10000, "Sequential", 0.001575
10000, "Parallel", 0.060444
10000, "Built-in", 0.001646
10000, "Sequential", 0.001696
10000, "Parallel", 0.063894
10000, "Built-in", 0.001656
10000, "Sequential", 0.001587
10000, "Parallel", 0.061613
10000, "Built-in", 0.001647
10000, "Sequential", 0.001593
10000, "Parallel", 0.045401
10000, "Built-in", 0.001648
10000, "Sequential", 0.001608
10000, "Parallel", 0.051870
10000, "Built-in", 0.001661
10000, "Sequential", 0.001607
10000, "Parallel", 0.036413
10000, "Built-in", 0.001681
100000, "Sequential", 0.019835
100000, "Parallel", 0.065322
100000, "Built-in", 0.021100
100000, "Sequential", 0.019544
100000, "Parallel", 0.075945
100000, "Built-in", 0.019770
100000, "Sequential", 0.018525
100000, "Parallel", 0.070748
100000, "Built-in", 0.069080
100000, "Sequential", 0.080283
100000, "Parallel", 0.172115
100000, "Built-in", 0.081890
100000, "Sequential", 0.080135
100000, "Parallel", 0.137146
100000, "Built-in", 0.081519
100000, "Sequential", 0.080187
100000, "Parallel", 0.189008
100000, "Built-in", 0.083251
100000, "Sequential", 0.081123
100000, "Parallel", 0.177889
100000, "Built-in", 0.081744
100000, "Sequential", 0.082129
100000, "Parallel", 0.169139
100000, "Built-in", 0.081506
100000, "Sequential", 0.080893
100000, "Parallel", 0.175841
100000, "Built-in", 0.083080
100000, "Sequential", 0.081036
100000, "Parallel", 0.164105
100000, "Built-in", 0.081419
100000, "Sequential", 0.103252
100000, "Parallel", 0.164882
100000, "Built-in", 0.081739
100000, "Sequential", 0.082853
100000, "Parallel", 0.171416
100000, "Built-in", 0.081602
100000, "Sequential", 0.019580
100000, "Parallel", 0.099967
100000, "Built-in", 0.019857
100000, "Sequential", 0.019167
100000, "Parallel", 0.110805
100000, "Built-in", 0.020092
100000, "Sequential", 0.019627
100000, "Parallel", 0.067391
100000, "Built-in", 0.019987
100000, "Sequential", 0.020137
100000, "Parallel", 0.068444
100000, "Built-in", 0.019812
100000, "Sequential", 0.019174
100000, "Parallel", 0.077677
100000, "Built-in", 0.020149
100000, "Sequential", 0.019685
100000, "Parallel", 0.081073
100000, "Built-in", 0.019777
100000, "Sequential", 0.019517
100000, "Parallel", 0.065990
100000, "Built-in", 0.020074
100000, "Sequential", 0.020350
100000, "Parallel", 0.052566
100000, "Built-in", 0.019326
100000, "Sequential", 0.018864
100000, "Parallel", 0.060752
100000, "Built-in", 0.019931
100000, "Sequential", 0.020686
100000, "Parallel", 0.054607
100000, "Built-in", 0.019423
100000, "Sequential", 0.019051
100000, "Parallel", 0.053433
100000, "Built-in", 0.020485
100000, "Sequential", 0.018809
100000, "Parallel", 0.084873
100000, "Built-in", 0.019781
100000, "Sequential", 0.019380
100000, "Parallel", 0.076222
100000, "Built-in", 0.019803
100000, "Sequential", 0.018889
100000, "Parallel", 0.060672
100000, "Built-in", 0.019955
100000, "Sequential", 0.018581
100000, "Parallel", 0.066171
100000, "Built-in", 0.019858
100000, "Sequential", 0.019102
100000, "Parallel", 0.075282
100000, "Built-in", 0.019820
100000, "Sequential", 0.019306
100000, "Parallel", 0.087168
100000, "Built-in", 0.019446
100000, "Sequential", 0.018860
100000, "Parallel", 0.073990
100000, "Built-in", 0.020014
1000000, "Sequential", 0.895674
1000000, "Parallel", 0.642989
1000000, "Built-in", 1.041380
1000000, "Sequential", 1.008281
1000000, "Parallel", 0.592779
1000000, "Built-in", 0.229157
1000000, "Sequential", 0.223491
1000000, "Parallel", 0.169982
1000000, "Built-in", 0.232445
1000000, "Sequential", 0.226569
1000000, "Parallel", 0.168737
1000000, "Built-in", 0.235089
1000000, "Sequential", 0.222512
1000000, "Parallel", 0.164195
1000000, "Built-in", 0.485716
1000000, "Sequential", 0.987124
1000000, "Parallel", 0.641257
1000000, "Built-in", 0.999217
1000000, "Sequential", 1.005273
1000000, "Parallel", 0.260105
1000000, "Built-in", 0.238059
1000000, "Sequential", 0.218689
1000000, "Parallel", 0.162675
1000000, "Built-in", 0.228508
1000000, "Sequential", 0.243907
1000000, "Parallel", 0.186119
1000000, "Built-in", 0.235242
1000000, "Sequential", 0.237262
1000000, "Parallel", 0.235765
1000000, "Built-in", 1.010741
1000000, "Sequential", 0.970247
1000000, "Parallel", 0.678299
1000000, "Built-in", 0.986077
1000000, "Sequential", 0.979548
1000000, "Parallel", 0.599215
1000000, "Built-in", 1.003702
1000000, "Sequential", 1.008216
1000000, "Parallel", 0.655774
1000000, "Built-in", 0.985970
1000000, "Sequential", 0.981107
1000000, "Parallel", 0.610021
1000000, "Built-in", 0.991232
1000000, "Sequential", 0.969796
1000000, "Parallel", 0.797935
1000000, "Built-in", 1.298286
1000000, "Sequential", 1.014332
1000000, "Parallel", 0.628578
1000000, "Built-in", 0.995228
1000000, "Sequential", 0.993324
1000000, "Parallel", 0.281193
1000000, "Built-in", 0.229170
1000000, "Sequential", 0.225051
1000000, "Parallel", 0.187153
1000000, "Built-in", 0.229994
1000000, "Sequential", 0.238228
1000000, "Parallel", 0.177279
1000000, "Built-in", 0.233400
1000000, "Sequential", 0.228923
1000000, "Parallel", 0.162458
1000000, "Built-in", 1.019202
1000000, "Sequential", 0.971340
1000000, "Parallel", 0.658234
1000000, "Built-in", 0.993979
1000000, "Sequential", 0.985201
1000000, "Parallel", 0.677137
1000000, "Built-in", 0.991261
1000000, "Sequential", 0.969637
1000000, "Parallel", 0.619326
1000000, "Built-in", 0.986657
1000000, "Sequential", 0.473505
1000000, "Parallel", 0.168868
1000000, "Built-in", 0.228434
1000000, "Sequential", 0.227552
1000000, "Parallel", 0.179421
1000000, "Built-in", 0.228507
1000000, "Sequential", 0.227357
1000000, "Parallel", 0.167280
1000000, "Built-in", 0.229569
1000000, "Sequential", 0.224159
1000000, "Parallel", 0.163828
1000000, "Built-in", 0.242599
1000000, "Sequential", 0.231554
1000000, "Parallel", 0.164187
1000000, "Built-in", 0.361192
1000000, "Sequential", 0.965317
1000000, "Parallel", 0.663086
1000000, "Built-in", 0.988790
1000000, "Sequential", 0.973348
1000000, "Parallel", 0.656095
1000000, "Built-in", 0.993525
